episode,reward,success,result,impact_velocity
1,-5650.7355986894445,0,timeout,-18.809327661329753
2,-11062.812783290468,0,crash,-27.441866892337284
3,-11933.34226039944,0,crash,-31.03937728494001
4,-7534.514354340744,0,crash,-18.367021840067814
5,-7975.06823045506,0,crash,-20.59044306839978
6,-10599.94372472597,0,crash,-28.54098137856713
7,-8177.125196338666,0,crash,-18.88807154652599
8,-7769.729824196744,0,timeout,-15.881651146073986
9,-12068.453038322623,0,crash,-27.45379406763937
10,-5310.560862295677,0,timeout,5.564415243990127
11,-6115.356296188285,0,crash,-9.334464626912174
12,-10147.709836664315,0,crash,-26.370602880701274
13,-6962.927450040737,0,crash,-13.724709738924702
14,-6195.811684705102,0,timeout,-23.448068863321787
15,-5190.731836663606,0,timeout,-11.029086115986653
16,-6333.632506473434,0,timeout,-11.817745852924908
17,-9965.861541871465,0,timeout,-21.574070413421182
18,-10439.31462848554,0,crash,-25.240925606054443
19,-7279.307641479577,0,crash,-20.152296491724123
20,-8777.645321415657,0,crash,-19.562324175516444
21,-11299.793714447333,0,crash,-24.17219195688969
22,-7389.248697298697,0,crash,-20.888885917893766
23,-9658.798214586252,0,crash,-26.004383232247115
24,-6494.6367142384015,0,timeout,-12.775809774692442
25,-5960.684984018963,0,runaway,4.7126409308545885
26,-13074.573228941505,0,crash,-30.953019612828818
27,-11526.095471570135,0,crash,-30.873116459047782
28,-5583.8207079699105,0,crash,-14.592791493758178
29,-8230.774757750758,0,crash,-23.51738581362377
30,-10779.871110337397,0,crash,-29.133669455495756
31,-9408.24158058169,0,timeout,-31.43283823575374
32,-13011.325677588764,0,crash,-33.056403763765516
33,-5893.755505397467,0,timeout,-12.837075268308917
34,-7165.66396535403,0,crash,-15.81787656208516
35,-10382.215613230976,0,crash,-25.55932230513958
36,-6378.973006271994,0,crash,-18.880177457146345
37,-6014.938060722056,0,crash,-8.19910209785325
38,-9202.297284908273,0,crash,-16.433566383089286
39,-8299.298219116376,0,crash,-21.39634759195804
40,-5180.608101762893,0,crash,-8.811499169203564
41,-6321.206172777422,0,crash,-15.301838680856049
42,-10785.722404927308,0,crash,-25.131509309285967
43,-6119.909747877369,0,crash,-13.300262663790122
44,-7602.641330169372,0,crash,-20.16385862762651
45,-6434.484289225587,0,crash,-17.218823911466675
46,-7512.61277519506,0,crash,-22.158535362039295
47,-7845.050091154318,0,crash,-20.17406823839539
48,-7870.272338994415,0,crash,-18.066399257712533
49,-9318.324083043417,0,crash,-26.808619831476932
50,-12805.429733349356,0,crash,-32.955884797642604
51,-5828.67646302257,0,timeout,-26.25657897932586
52,-5722.55388092734,0,crash,-7.931427784817356
53,-8332.345960299936,0,crash,-18.02608179330384
54,-12566.288398644652,0,crash,-31.693320996129753
55,-7958.069878741048,0,crash,-16.608571815817044
56,-15448.502520864708,0,crash,-35.209898399441414
57,-6599.468745316772,0,crash,-18.744301688194753
58,-9344.976737340648,0,crash,-19.169445954888957
59,-6778.015275010516,0,crash,-16.90763315320582
60,-5860.356400153718,0,crash,-4.75738489196451
61,-6509.809016031026,0,crash,-16.38066863978254
62,-9295.725165420765,0,crash,-22.712204804469323
63,-5650.47288629691,0,crash,-11.798973407175179
64,-8277.1830842499,0,timeout,-30.313890611022796
65,-6910.229602690168,0,crash,-19.442401453084088
66,-5213.29495451076,0,crash,-9.698331035991146
67,-7124.763850740107,0,crash,-17.18714944603031
68,-10884.239026408135,0,crash,-24.982544066267387
69,-10640.760481324392,0,crash,-26.174900944964648
